numba_parallel.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.399, Time: 2.022684 s
         3497319 function calls (3381659 primitive calls) in 13.722 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      231    0.002    0.000    0.105    0.000 llvm_bindings.py:36(create_pass_builder)
  151/133    0.002    0.000    0.105    0.001 base.py:526(get_function)
10823/10154    0.068    0.000    0.105    0.000 {built-in method __new__ of type object at 0xaf5215b09a68}
        2    0.001    0.000    0.103    0.052 core.py:198(read_style_directory)
       99    0.001    0.000    0.102    0.001 postproc.py:52(deadmaps)
     1090    0.018    0.000    0.101    0.000 templates.py:887(make_overload_template)
       12    0.000    0.000    0.101    0.008 codegen.py:667(_optimize_final_module)
        1    0.000    0.000    0.100    0.100 defmatrix.py:1(<module>)
        2    0.000    0.000    0.100    0.050 _linalg.py:1(<module>)
       11    0.000    0.000    0.099    0.009 typed_passes.py:562(run_pass)
       11    0.000    0.000    0.099    0.009 ir_utils.py:2272(check_and_legalize_ir)
      100    0.002    0.000    0.096    0.001 pyplot.py:208(_add_pyplot_note)
        2    0.000    0.000    0.095    0.048 config.py:1(<module>)
     1778    0.018    0.000    0.095    0.000 context.py:653(_rate_arguments)
  368/251    0.002    0.000    0.095    0.000 typing.py:392(inner)
     2911    0.021    0.000    0.094    0.000 castgraph.py:39(insert)
        1    0.001    0.001    0.093    0.093 charseq.py:1(<module>)
    13970    0.036    0.000    0.092    0.000 event.py:100(__init__)
     5332    0.015    0.000    0.091    0.000 values.py:557(_set_name)
      369    0.004    0.000    0.089    0.000 _docscrape.py:201(_read_to_next_section)
    19124    0.060    0.000    0.089    0.000 utils.py:484(sublist_iterator)
        1    0.000    0.000    0.088    0.088 axis.py:1(<module>)
    68/65    0.000    0.000    0.087    0.001 <frozen importlib._bootstrap_external>:1291(create_module)
    68/65    0.058    0.001    0.086    0.001 {built-in method _imp.create_dynamic}
        8    0.000    0.000    0.086    0.011 arrayobj.py:499(getitem_array_tuple)
      383    0.003    0.000    0.086    0.000 _docscrape.py:212(_read_sections)
      854    0.021    0.000    0.085    0.000 utils.py:306(order_by_target_specificity)
        3    0.000    0.000    0.085    0.028 callwrapper.py:101(build)
       11    0.000    0.000    0.085    0.008 ssa.py:26(reconstruct_ssa)
       11    0.000    0.000    0.085    0.008 ssa.py:47(_run_ssa)
