LebwohlLasher.py: Size: 100, Steps: 10, T*: 0.500: Order: 0.276, Time: 4.300005 s
         3701604 function calls (3627276 primitive calls) in 51.261 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      648    0.006    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:486(cache_from_source)
       52    0.001    0.000    0.024    0.000 inspect.py:1070(findsource)
  300/288    0.001    0.000    0.024    0.000 _base.py:901(viewLim)
      148    0.001    0.000    0.024    0.000 artist.py:1243(_cm_set)
        1    0.000    0.000    0.024    0.024 testing.py:1(<module>)
      593    0.012    0.000    0.024    0.000 _compiler.py:243(_optimize_charset)
  308/296    0.004    0.000    0.024    0.000 _base.py:887(_unstale_viewLim)
       65    0.001    0.000    0.024    0.000 core.py:4495(__init__)
    13970    0.023    0.000    0.023    0.000 {built-in method builtins.issubclass}
      113    0.002    0.000    0.023    0.000 rcsetup.py:99(f)
     1432    0.004    0.000    0.023    0.000 artist.py:414(pchanged)
    85/30    0.001    0.000    0.023    0.001 typing.py:1294(__getitem__)
  542/409    0.010    0.000    0.023    0.000 transforms.py:2432(get_affine)
     2335    0.006    0.000    0.023    0.000 <frozen abc>:117(__instancecheck__)
        4    0.000    0.000    0.022    0.006 axis.py:845(clear)
        2    0.000    0.000    0.022    0.011 version.py:1(<module>)
        3    0.000    0.000    0.022    0.007 exceptions.py:1(<module>)
      108    0.005    0.000    0.022    0.000 lines.py:686(recache)
        1    0.000    0.000    0.022    0.022 _dtype_like.py:1(<module>)
       64    0.006    0.000    0.021    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.021    0.021 _machar.py:1(<module>)
        1    0.000    0.000    0.021    0.021 _array_like.py:1(<module>)
     2703    0.012    0.000    0.021    0.000 cbook.py:468(_strip_comment)
        1    0.000    0.000    0.021    0.021 figureoptions.py:1(<module>)
       72    0.001    0.000    0.021    0.000 ticker.py:214(format_ticks)
       45    0.000    0.000    0.020    0.000 linecache.py:36(getlines)
 2571/455    0.013    0.000    0.020    0.000 _parser.py:178(getwidth)
      640    0.006    0.000    0.020    0.000 fromnumeric.py:51(_wrapfunc)
       64    0.003    0.000    0.020    0.000 deprecation.py:414(make_keyword_only)
      166    0.002    0.000    0.020    0.000 font_manager.py:556(wrapper)
       44    0.001    0.000    0.020    0.000 linecache.py:83(updatecache)
       36    0.000    0.000    0.020    0.001 patches.py:633(draw)
       18    0.000    0.000    0.020    0.001 PngImagePlugin.py:1124(putchunk)
