full_vector_test#.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.267, Time: 4.033049 s
         2764173 function calls (2733146 primitive calls) in 12.278 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3397    0.017    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     3460    0.017    0.000    0.031    0.000 enum.py:38(_is_descriptor)
        1    0.000    0.000    0.031    0.031 testing.py:1(<module>)
       12    0.001    0.000    0.031    0.003 backend_qt.py:344(mouseMoveEvent)
      689    0.008    0.000    0.030    0.000 <frozen importlib._bootstrap>:304(acquire)
       16    0.000    0.000    0.030    0.002 backend_bases.py:1805(inaxes)
       65    0.002    0.000    0.030    0.000 core.py:4495(__init__)
      723    0.016    0.000    0.030    0.000 functools.py:35(update_wrapper)
       72    0.029    0.000    0.030    0.000 lines.py:758(draw)
        4    0.000    0.000    0.030    0.007 spines.py:142(get_window_extent)
       16    0.000    0.000    0.030    0.002 patches.py:179(contains_point)
     3900    0.017    0.000    0.030    0.000 enum.py:79(_is_private)
        4    0.000    0.000    0.029    0.007 _base.py:3318(grid)
        8    0.000    0.000    0.029    0.004 axis.py:1696(grid)
     2107    0.007    0.000    0.029    0.000 <frozen abc>:117(__instancecheck__)
     1328    0.005    0.000    0.029    0.000 artist.py:414(pchanged)
       24    0.003    0.000    0.029    0.001 ticker.py:2159(_raw_ticks)
        4    0.000    0.000    0.028    0.007 axis.py:1115(set_clip_path)
       12    0.000    0.000    0.028    0.002 core.py:1274(parse_string)
        1    0.000    0.000    0.028    0.028 _char_codes.py:1(<module>)
       50    0.000    0.000    0.028    0.001 typing.py:521(__getitem__)
       19    0.001    0.000    0.028    0.001 rcsetup.py:677(cycler)
       39    0.002    0.000    0.028    0.001 colors.py:1081(from_list)
    22878    0.028    0.000    0.028    0.000 _parser.py:240(__next)
        3    0.000    0.000    0.028    0.009 patches.py:2293(__init_subclass__)
      383    0.006    0.000    0.028    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        6    0.001    0.000    0.028    0.005 patches.py:2335(pprint_styles)
  646/622    0.003    0.000    0.028    0.000 contextlib.py:132(__enter__)
        1    0.000    0.000    0.028    0.028 full_vector_test#.py:33(initdat)
        4    0.000    0.000    0.027    0.007 axis.py:845(clear)
     1360    0.012    0.000    0.026    0.000 cbook.py:348(process)
 2571/455    0.017    0.000    0.026    0.000 _parser.py:178(getwidth)
       32    0.024    0.001    0.026    0.001 {method 'readlines' of '_io._IOBase' objects}
      593    0.013    0.000    0.026    0.000 _compiler.py:243(_optimize_charset)
     9322    0.026    0.000    0.026    0.000 {method 'split' of 'str' objects}
     5555    0.018    0.000    0.026    0.000 enum.py:849(__setattr__)
       86    0.001    0.000    0.026    0.000 text.py:194(update)
        1    0.000    0.000    0.025    0.025 PngImagePlugin.py:1(<module>)
       50    0.003    0.000    0.025    0.001 typing.py:753(Literal)
    15842    0.025    0.000    0.025    0.000 {function RcParams.__getitem__ at 0xff9d55ee8540}
      399    0.002    0.000    0.025    0.000 <frozen importlib._bootstrap>:416(__enter__)
        6    0.010    0.002    0.025    0.004 backend_agg.py:367(copy_from_bbox)
        1    0.000    0.000    0.024    0.024 _machar.py:1(<module>)
      634    0.006    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:486(cache_from_source)
       12    0.001    0.000    0.023    0.002 axis.py:1527(get_minorticklocs)
        1    0.000    0.000    0.023    0.023 _fontconfig_pattern.py:55(_make_fontconfig_parser)
      336    0.002    0.000    0.023    0.000 font_manager.py:961(copy)
       42    0.001    0.000    0.023    0.001 font_manager.py:1293(findfont)
        1    0.000    0.000    0.023    0.023 socket.py:1(<module>)
        1    0.000    0.000    0.023    0.023 fromnumeric.py:1(<module>)
        8    0.000    0.000    0.023    0.003 core.py:6454(__init__)
6676/6150    0.014    0.000    0.023    0.000 artist.py:315(stale)
    96/91    0.000    0.000    0.023    0.000 typing.py:515(__getitem__)
