LebwohlLasher2.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.357, Time: 9.907009 s
         1534821 function calls (1517766 primitive calls) in 10.882 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.007    0.007 _afm.py:1(<module>)
      445    0.003    0.000    0.007    0.000 copy.py:247(_reconstruct)
      450    0.002    0.000    0.007    0.000 __init__.py:179(sub)
      195    0.002    0.000    0.007    0.000 inspect.py:2030(_signature_get_user_defined_method)
        1    0.000    0.000    0.007    0.007 tz.py:1(<module>)
       39    0.002    0.000    0.007    0.000 colors.py:419(to_rgba_array)
        8    0.002    0.000    0.006    0.001 enum.py:1707(convert_class)
      891    0.004    0.000    0.006    0.000 colors.py:219(_is_nth_color)
        1    0.000    0.000    0.006    0.006 _format_impl.py:1(<module>)
        1    0.000    0.000    0.006    0.006 unicode.py:80(alphanums)
        1    0.000    0.000    0.006    0.006 decoder.py:1(<module>)
        1    0.000    0.000    0.006    0.006 unicode.py:70(alphas)
      344    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:806(spec_from_file_location)
1436/1256    0.004    0.000    0.006    0.000 {method 'update' of 'dict' objects}
      356    0.003    0.000    0.006    0.000 inspect.py:791(_findclass)
        1    0.000    0.000    0.006    0.006 font_manager.py:1625(_load_fontmanager)
       20    0.000    0.000    0.006    0.000 core.py:5788(parseImpl)
        1    0.000    0.000    0.006    0.006 _pickle.py:1(<module>)
       76    0.003    0.000    0.006    0.000 typing.py:1640(__hash__)
        1    0.000    0.000    0.006    0.006 dates.py:1(<module>)
      701    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1473(_path_importer_cache)
        1    0.000    0.000    0.006    0.006 ImagePalette.py:1(<module>)
        1    0.000    0.000    0.006    0.006 cbook.py:1(<module>)
       83    0.001    0.000    0.006    0.000 core.py:4286(__init__)
        1    0.000    0.000    0.006    0.006 ipaddress.py:1(<module>)
       86    0.001    0.000    0.006    0.000 __init__.py:259(make_alias)
      143    0.001    0.000    0.006    0.000 ast.py:419(visit_Constant)
        1    0.000    0.000    0.006    0.006 random.py:1(<module>)
      127    0.000    0.000    0.006    0.000 core.py:3487(copy)
        1    0.000    0.000    0.005    0.005 helpers.py:697(make_html_tags)
        1    0.000    0.000    0.005    0.005 helpers.py:638(_makeTags)
      222    0.001    0.000    0.005    0.000 _parser.py:98(closegroup)
      243    0.003    0.000    0.005    0.000 inspect.py:2830(__str__)
